txt_length
74
10
66
72
71
167
55
28
149
70
209
37
67
61
59
162
92
206
353
48
31
9
19
174
380
43
26
8
64
48
67
33
22
69
55
223
52
24
32
61
113
113
62
36
18
40
57
66
95
125
29
44
101
65
53
128
51
112
96
67
127
319
78
387
251
54
112
63
27
47
20
330
55
63
64
30
54
23
11
106
99
15
43
65
23
119
175
16
18
56
68
152
12
15
15
13
108
77
75
27
113
95
147
136
57
212
58
157
26
67
167
46
32
43
106
184
85
48
117
162
104
64
43
123
