txt_length
75
58
92
51
61
103
7
265
95
56
109
11
112
25
38
19
57
56
3
26
110
6
43
4
54
6
72
88
95
40
77
24
10
4
73
87
60
55
25
98
24
12
32
24
31
64
72
295
30
1
10
147
213
70
56
200
60
10
65
42
45
45
28
11
230
81
6
157
12
42
6
55
46
30
40
56
15
492
29
18
56
66
102
28
